t_ms,label_id,label,lin_ax_mps2_x1000,lin_ay_mps2_x1000,lin_az_mps2_x1000,gx_radps_x1000,gy_radps_x1000,gz_radps_x1000,acc_norm_x1000,gyro_norm_x1000,valid,clipped
241485,0,idle,2,13,1,49,-44,15,998,67,1,0
241511,0,idle,4,15,1,50,-44,11,998,67,1,0
241537,0,idle,6,16,1,41,-39,0,998,57,1,0
241563,0,idle,9,16,2,23,-32,-13,998,42,1,0
241589,0,idle,11,16,2,2,-21,-28,998,35,1,0
241615,0,idle,15,13,2,-18,-12,-39,998,45,1,0
241641,0,idle,16,10,3,-36,1,-44,999,57,1,0
241667,0,idle,16,7,3,-49,15,-42,999,67,1,0
241693,0,idle,15,5,3,-55,32,-35,999,72,1,0
241719,0,idle,12,5,2,-47,54,-24,998,75,1,0
241745,0,idle,9,4,2,-34,73,-12,998,81,1,0
241771,0,idle,9,5,2,-18,92,-2,998,94,1,0
241797,0,idle,7,6,1,-1,100,3,998,100,1,0
241823,0,idle,6,5,1,11,96,3,998,97,1,0
241848,0,idle,5,5,1,19,87,4,998,89,1,0
241873,0,idle,0,6,0,25,74,5,998,79,1,0
241898,0,idle,-4,6,0,24,58,9,998,64,1,0
241923,0,idle,-8,6,-1,20,49,13,998,55,1,0
241948,0,idle,-10,5,-1,11,33,16,998,39,1,0
241974,0,idle,-9,6,-1,-1,13,17,998,21,1,0
242000,0,idle,-8,6,-1,-16,-2,11,998,20,1,0
242026,0,idle,-6,5,0,-32,-21,1,998,38,1,0
242052,0,idle,0,2,0,-48,-42,-14,998,66,1,0
242078,0,idle,-1,-1,0,-56,-43,-26,998,76,1,0
242104,0,idle,-2,-2,0,-56,-43,-34,998,78,1,0
242130,0,idle,1,-6,1,-55,-40,-39,998,79,1,0
242156,0,idle,0,-9,1,-56,-25,-40,998,74,1,0
242182,0,idle,-1,-10,1,-56,-20,-42,998,72,1,0
242208,0,idle,0,-10,1,-54,-15,-44,998,71,1,0
242234,0,idle,0,-11,1,-50,-3,-51,998,71,1,0
242260,0,idle,-3,-11,0,-46,4,-58,998,74,1,0
242286,0,idle,-3,-10,0,-40,6,-66,998,78,1,0
242312,0,idle,-4,-10,0,-34,12,-75,999,83,1,0
242338,0,idle,-7,-11,0,-27,20,-82,998,89,1,0
242364,0,idle,-8,-11,0,-18,24,-87,998,92,1,0
242390,0,idle,-7,-10,0,-13,29,-92,998,97,1,0
242416,0,idle,-8,-10,0,-10,32,-99,998,104,1,0
242442,0,idle,-12,-8,-1,-7,31,-105,998,110,1,0
242468,0,idle,-11,-6,-1,-8,24,-113,998,116,1,0
242494,0,idle,-10,-6,-1,-12,17,-124,998,126,1,0
242520,0,idle,-14,-6,-1,-15,12,-132,998,133,1,0
242546,0,idle,-11,-6,-1,-15,-1,-137,998,138,1,0
242572,0,idle,-10,-4,-1,-11,0,-142,998,143,1,0
242598,0,idle,-12,-4,-1,-9,2,-146,998,147,1,0
242624,0,idle,-8,-4,0,-12,-7,-152,998,152,1,0
242650,0,idle,-6,-2,0,-14,0,-159,999,160,1,0
242676,0,idle,-10,-1,-1,-10,11,-164,998,165,1,0
242702,0,idle,-8,-1,-1,-1,19,-168,998,169,1,0
242728,0,idle,-6,-2,0,6,35,-168,998,171,1,0
242754,0,idle,-5,-2,0,11,40,-165,998,171,1,0
242780,0,idle,-5,-1,0,16,39,-162,998,168,1,0
242806,0,idle,-8,1,-1,21,43,-159,998,166,1,0
242832,0,idle,-9,3,-1,26,40,-156,998,163,1,0
242866,0,idle,-3,7,0,13,32,-148,998,152,1,0
242892,0,idle,0,11,0,-12,23,-136,998,139,1,0
242918,0,idle,4,12,0,-42,3,-129,998,135,1,0
242944,0,idle,3,9,1,-66,-11,-129,998,146,1,0
242970,0,idle,-1,3,0,-84,-20,-134,998,160,1,0
242996,0,idle,-2,-4,0,-98,-29,-139,998,173,1,0
243022,0,idle,0,-10,0,-103,-32,-141,998,177,1,0
243049,0,idle,-1,-17,0,-90,-29,-136,998,166,1,0
243076,0,idle,0,-19,0,-56,-41,-119,998,138,1,0
243102,0,idle,1,-21,0,-18,-49,-100,998,112,1,0
243128,0,idle,-3,-22,0,10,-48,-79,998,93,1,0
243154,0,idle,-6,-22,0,24,-48,-62,998,82,1,0
243180,0,idle,-5,-18,0,23,-44,-54,998,74,1,0
243206,0,idle,-1,-14,0,12,-39,-59,998,72,1,0
243232,0,idle,1,-11,1,-2,-32,-72,998,79,1,0
243258,0,idle,3,-10,1,-14,-25,-88,999,93,1,0
243284,0,idle,4,-11,1,-26,-19,-102,999,107,1,0
243310,0,idle,3,-12,1,-32,-8,-111,999,116,1,0
243336,0,idle,4,-13,1,-30,-1,-111,999,115,1,0
