t_ms,label_id,label,ax_mps2_x1000,ay_mps2_x1000,az_mps2_x1000,gx_radps_x1000,gy_radps_x1000,gz_radps_x1000
242364,0,idle,-130,6,990,8,36,-101
243336,0,idle,-116,-6,992,-27,18,-111
251749,0,idle,-95,28,994,-57,47,-36
263057,0,idle,-145,26,988,13,-1,-23
263083,0,idle,-136,26,989,11,-5,-22
264484,0,idle,-153,20,986,10,23,-33
267058,0,idle,-149,23,987,27,12,-42
286808,0,idle,-169,20,984,-5,-33,-28
286886,0,idle,-162,20,985,8,-26,-24
286912,0,idle,-161,20,985,9,-12,-20
287068,0,idle,-163,18,985,-20,-12,-9
289673,0,idle,-152,25,986,3,22,-24
291555,0,idle,-167,21,984,18,17,-36
296385,0,idle,-160,17,985,14,28,-30
298806,0,idle,-160,14,985,-4,51,-32
303384,0,idle,-164,26,984,22,3,-30
312453,0,idle,-174,25,983,-30,33,-47
319552,0,idle,-172,20,983,-2,-26,-32
323837,0,idle,-171,32,983,8,21,-43
325970,0,idle,-177,25,982,-15,-3,-35
349312,0,idle,-174,50,982,8,-57,-34
349338,0,idle,-173,50,982,-8,-44,-37
349728,0,idle,-168,47,983,21,-29,-22
349754,0,idle,-177,46,981,17,-18,-23
351552,0,idle,-171,33,983,-11,3,-17
352117,0,idle,-167,34,984,-10,34,6
354360,0,idle,-179,52,981,10,-16,-29
363545,0,idle,-172,27,983,19,4,-44
374521,0,idle,-185,20,981,8,3,-23
377297,0,idle,-175,25,983,-12,7,-39
382891,0,idle,-151,34,986,8,-42,-39
383021,0,idle,-154,37,986,-4,-9,-24
387537,0,idle,-149,25,987,-3,24,-36
391861,0,idle,-164,33,984,-10,2,-38
396644,0,idle,-163,26,985,-14,15,-16
