start_ms,end_ms,label_id,label,n,dropped,clipped,mean_ax,mean_ay,mean_az,mean_lax,mean_lay,mean_laz,mean_gx,mean_gy,mean_gz,rms_ax,rms_ay,rms_az,rms_gx,rms_gy,rms_gz
241170,242832,0,idle,64,0,0,-120,18,990,0,1,0,-8,10,-55,120,19,990,29,37,81
242832,244499,0,idle,64,0,0,-118,9,991,2,-2,0,10,-5,-69,119,13,991,39,24,78
244499,246171,0,idle,64,0,0,-131,34,989,-7,12,-1,23,14,-66,131,35,989,27,21,70
246171,247842,0,idle,64,0,0,-136,45,987,-4,9,0,18,2,-39,136,45,987,21,20,40
247842,249502,0,idle,64,0,0,-142,45,987,-4,1,0,3,2,-34,142,45,987,9,14,35
249502,251169,0,idle,64,0,0,-147,39,986,-3,-2,0,0,-2,-36,147,39,986,12,25,39
251169,252839,0,idle,64,0,0,-99,29,992,26,-6,3,-1,-38,-37,100,29,992,20,72,40
252839,254507,0,idle,64,0,0,-101,21,992,4,-5,0,0,1,-36,102,21,992,19,21,38
254507,256177,0,idle,64,0,0,-113,22,991,-5,-1,0,0,0,-49,114,22,991,12,20,54
256177,257830,0,idle,64,0,0,-107,26,992,2,1,0,9,-2,-37,107,26,992,24,16,42
257830,259481,0,idle,64,0,0,-114,24,991,-4,0,0,5,14,-19,114,24,991,11,20,30
259481,261147,0,idle,64,0,0,-130,23,989,-9,0,-1,1,5,-32,130,23,989,4,12,32
261147,262815,0,idle,64,0,0,-140,25,988,-8,1,-1,7,13,-37,140,25,988,17,19,37
262815,264484,0,idle,64,0,0,-149,21,986,-8,-2,-1,0,11,-29,149,21,986,6,19,30
264484,266155,0,idle,64,0,0,-153,21,986,-1,0,0,5,-9,-33,153,21,986,8,18,34
266155,267808,0,idle,64,0,0,-146,21,987,1,0,0,9,5,-37,146,21,987,12,9,38
267808,269460,0,idle,64,0,0,-149,23,986,0,0,0,4,1,-30,149,24,986,7,16,31
269460,271127,0,idle,64,0,0,-157,25,985,-4,0,0,2,0,-31,158,25,985,13,14,33
271127,272772,0,idle,64,0,0,-156,19,985,-1,-2,0,5,6,-32,156,19,985,10,9,35
272772,274432,0,idle,64,0,0,-157,18,985,0,-1,0,3,-3,-31,157,19,985,6,15,32
274432,276085,0,idle,64,0,0,-157,20,985,0,1,0,7,-3,-34,157,20,985,10,13,35
276085,277744,0,idle,64,0,0,-159,18,985,-2,-1,0,4,12,-32,159,18,985,7,18,33
277744,279400,0,idle,64,0,0,-166,19,984,-2,0,0,7,-6,-29,166,19,984,7,11,30
279400,281030,0,idle,64,0,0,-164,20,984,-1,0,0,6,5,-33,164,20,984,7,8,33
281030,282676,0,idle,64,0,0,-159,17,985,3,-2,0,2,-7,-31,159,17,985,6,16,31
282676,284336,0,idle,64,0,0,-160,14,985,0,-1,0,3,-3,-36,160,14,985,11,12,36
284336,285995,0,idle,64,0,0,-156,16,985,0,0,0,10,6,-30,156,16,985,12,16,33
285995,287659,0,idle,64,0,0,-165,20,984,-2,1,0,5,-6,-33,165,20,984,8,17,35
287659,289309,0,idle,64,0,0,-161,21,985,0,1,0,9,0,-37,161,21,985,12,13,37
289309,290956,0,idle,64,0,0,-160,23,985,0,1,0,6,2,-32,160,23,985,9,10,33
290956,292619,0,idle,64,0,0,-167,22,983,-3,0,0,6,7,-35,167,22,983,9,11,35
292619,294284,0,idle,64,0,0,-159,18,985,5,-2,0,0,-8,-23,159,18,985,6,20,24
294284,295945,0,idle,64,0,0,-164,18,984,-2,0,0,4,-3,-37,164,19,984,9,17,39
295945,297587,0,idle,64,0,0,-161,20,985,0,1,0,11,5,-33,161,21,985,15,8,33
297587,299248,0,idle,64,0,0,-158,17,985,1,-2,0,2,1,-32,158,17,985,12,22,33
299248,300918,0,idle,64,0,0,-171,25,983,-4,4,0,10,-7,-32,171,25,983,15,25,34
300918,302554,0,idle,64,0,0,-160,24,984,2,0,0,8,6,-36,160,24,984,11,8,36
302554,304202,0,idle,64,0,0,-167,26,983,-2,0,0,5,4,-33,167,26,983,8,13,34
304202,305869,0,idle,64,0,0,-177,29,982,-7,2,-1,9,3,-33,177,29,982,11,17,34
305869,307526,0,idle,64,0,0,-165,25,984,5,-1,1,2,-3,-28,165,25,984,9,19,31
307526,309186,0,idle,64,0,0,-172,26,983,-1,0,0,7,-3,-31,172,27,983,10,9,32
309186,310816,0,idle,64,0,0,-168,29,983,1,1,0,8,-2,-34,168,29,983,10,7,34
310816,312453,0,idle,64,0,0,-163,28,984,2,0,0,6,0,-33,163,28,984,8,16,33
312453,314116,0,idle,64,0,0,-172,31,982,-4,1,0,6,0,-31,172,31,982,11,7,32
314116,315766,0,idle,64,0,0,-172,28,982,0,0,0,8,2,-33,172,28,982,11,7,33
315766,317423,0,idle,64,0,0,-170,30,983,1,0,0,1,-4,-29,170,30,983,7,10,29
317423,319078,0,idle,64,0,0,-174,29,982,-2,0,0,6,3,-33,174,29,982,11,9,34
319078,320741,0,idle,64,0,0,-176,24,982,-2,-2,0,4,3,-33,176,24,982,8,11,34
320741,322391,0,idle,64,0,0,-181,28,981,-2,1,0,7,1,-32,181,28,981,9,7,33
322391,324043,0,idle,64,0,0,-177,26,982,1,0,0,5,-2,-32,177,26,982,8,13,34
