t_ms,label_id,label,ax_mps2_x1000,ay_mps2_x1000,az_mps2_x1000,gx_radps_x1000,gy_radps_x1000,gz_radps_x1000
23715,2,stairs,-195,26,979,-70,260,260
24239,2,stairs,-40,13,998,110,-130,103
34079,2,stairs,-87,15,996,158,181,222
46737,2,stairs,-259,-131,956,101,64,-30
48200,2,stairs,-213,-193,956,379,119,-664
51676,2,stairs,-139,-50,989,-216,-79,65
72047,2,stairs,19,-183,983,-206,-18,80
74600,2,stairs,-223,-230,947,129,626,-208
94718,2,stairs,-58,-47,997,-70,252,-1096
98441,2,stairs,-115,-81,990,-225,162,159
107441,2,stairs,-126,-166,978,17,-113,-207
125184,2,stairs,-123,-143,981,-121,-53,-95
144221,2,stairs,-136,-130,981,409,275,-483
153286,2,stairs,-34,-105,993,-37,185,-1400
155421,2,stairs,-115,-45,992,-8,-84,-400
159610,2,stairs,-120,-152,980,129,-447,-4
171146,2,stairs,-250,-126,960,-255,59,-56
172415,2,stairs,-39,-166,984,206,248,338
180633,2,stairs,-156,-163,973,-151,-384,241
181414,2,stairs,-209,-217,952,165,502,-206
182368,2,stairs,-298,-56,953,151,207,183
186049,2,stairs,24,-91,994,-92,-382,-697
194476,2,stairs,-98,-45,994,468,-71,-500
196725,2,stairs,-203,38,977,363,-202,-616
198966,2,stairs,-254,79,964,-48,-177,459
200598,2,stairs,-154,-29,988,80,32,-351
205265,2,stairs,-285,-80,955,208,394,-472
217522,2,stairs,-196,59,978,244,-3,264
219619,2,stairs,-140,-162,975,376,-154,-1135
225981,2,stairs,-177,-25,983,-68,190,-886
226415,2,stairs,-132,-168,977,117,24,-1051
257833,2,stairs,-206,-78,975,-260,-205,-172
264348,2,stairs,-169,33,983,380,-171,-113
272691,2,stairs,-87,-31,994,-248,-344,-56
281703,2,stairs,-58,-183,980,-170,-30,-154
286102,2,stairs,-432,36,901,297,-50,-77
286129,2,stairs,-353,42,935,67,22,-43
288350,2,stairs,-207,-180,961,-141,-261,40
308211,2,stairs,-102,-191,975,167,219,123
312703,2,stairs,-236,-44,970,60,129,119
314034,2,stairs,-406,-320,854,-44,789,-667
316094,2,stairs,-244,-67,966,-93,-327,-673
321078,2,stairs,-358,-216,906,53,957,-677
330132,2,stairs,-206,-8,977,187,-66,62
