start_ms,end_ms,label_id,label,n,dropped,clipped,mean_ax,mean_ay,mean_az,mean_lax,mean_lay,mean_laz,mean_gx,mean_gy,mean_gz,rms_ax,rms_ay,rms_az,rms_gx,rms_gy,rms_gz
21200,22872,2,stairs,64,0,0,-103,-43,991,-16,2,0,-4,19,7,104,44,991,18,41,38
22872,24559,2,stairs,64,0,0,-97,-15,991,-2,22,0,39,-9,84,104,41,991,74,122,177
24559,26261,2,stairs,64,0,0,-81,-4,990,16,10,0,-13,-29,-16,103,43,990,158,224,260
26261,27954,2,stairs,64,0,0,-83,-21,992,-3,-13,0,6,-9,-27,93,42,992,114,126,153
27954,29659,2,stairs,64,0,0,-91,-23,988,-7,-14,-2,-47,36,47,104,76,988,130,185,139
29659,31381,2,stairs,64,0,0,-108,-82,984,-7,-30,-2,-20,-58,-649,117,101,984,144,176,776
31381,33109,2,stairs,64,0,0,-74,-76,988,9,7,1,-74,64,-868,91,90,988,139,165,1009
33109,34814,2,stairs,64,0,0,-135,-32,983,-17,22,0,29,48,-78,147,65,983,90,228,322
34814,36532,2,stairs,64,0,0,-128,-84,980,-11,-15,-2,14,55,-113,137,110,980,162,133,155
36532,38234,2,stairs,64,0,0,-134,-53,984,-6,1,0,-11,30,-16,142,69,984,75,167,146
38234,39946,2,stairs,64,0,0,-147,-59,981,-6,-1,0,19,0,-207,155,85,981,139,124,314
39946,41686,2,stairs,64,0,0,-116,-103,976,15,-33,-4,-81,15,-993,124,141,976,293,201,1091
41686,43420,2,stairs,64,0,0,-126,-114,977,2,-4,1,35,57,-739,138,128,977,115,230,845
43420,45117,2,stairs,64,0,0,-104,-82,985,10,20,4,15,51,53,114,97,985,135,141,111
45117,46817,2,stairs,64,0,0,-121,-88,981,-5,5,0,35,12,-4,131,108,982,109,177,59
46817,48522,2,stairs,64,0,0,-99,-93,985,3,-9,0,13,29,-180,109,102,985,107,157,297
48522,50251,2,stairs,64,0,0,-84,-102,986,15,-7,0,-24,-55,-851,99,105,986,73,175,900
50251,51969,2,stairs,64,0,0,-95,-108,983,-5,-3,-1,-39,74,-435,111,114,983,118,176,597
