t_ms,label_id,label,ax_mps2_x1000,ay_mps2_x1000,az_mps2_x1000,gx_radps_x1000,gy_radps_x1000,gz_radps_x1000
37006,1,walk,28,152,986,-80,59,-19
59898,1,walk,112,95,987,27,-54,-61
60236,1,walk,-157,11,986,-49,100,-345
61519,1,walk,19,84,995,102,215,-118
75189,1,walk,167,78,982,266,-549,49
78720,1,walk,-24,-53,998,45,85,-258
91669,1,walk,-115,-26,992,-169,49,21
93419,1,walk,113,74,990,-46,-182,610
112885,1,walk,191,68,979,-28,-222,125
113781,1,walk,135,154,979,143,60,118
127604,1,walk,58,124,990,-160,317,505
132291,1,walk,248,102,963,-45,-343,-140
160505,1,walk,8,97,995,39,16,314
165723,1,walk,203,47,977,-143,-401,36
168636,1,walk,-178,-49,981,124,237,-532
173240,1,walk,7,40,998,-56,-166,-222
177606,1,walk,82,23,996,19,-122,-3
180941,1,walk,122,55,991,80,-148,-241
189300,1,walk,71,89,992,-451,-144,-949
194818,1,walk,-53,203,976,193,-61,-135
202385,1,walk,-114,75,990,55,86,-373
204525,1,walk,-44,6,998,113,-60,-624
210972,1,walk,-118,-48,991,10,207,-306
217681,1,walk,105,57,992,307,-97,-214
233022,1,walk,104,89,989,111,212,-127
244087,1,walk,179,153,971,543,171,-335
278714,1,walk,23,82,995,98,-211,-251
283516,1,walk,106,140,983,53,68,318
286689,1,walk,114,81,988,2,144,181
290023,1,walk,145,113,982,219,-315,-494
290050,1,walk,179,127,974,167,-385,-525
293360,1,walk,151,157,975,2,435,-142
294202,1,walk,-29,89,994,-198,315,-194
298758,1,walk,150,124,979,-2,130,-131
304250,1,walk,-27,31,998,51,-5,-160
