start_ms,end_ms,label_id,label,n,dropped,clipped,mean_ax,mean_ay,mean_az,mean_lax,mean_lay,mean_laz,mean_gx,mean_gy,mean_gz,rms_ax,rms_ay,rms_az,rms_gx,rms_gy,rms_gz
14373,15991,1,walk,64,0,0,27,24,997,-3,-1,1,-5,-13,-1,28,25,997,22,26,25
15991,17638,1,walk,64,0,0,64,48,993,21,20,-3,46,-22,206,71,67,993,83,89,269
17638,19309,1,walk,64,0,0,36,85,991,-17,14,0,18,25,-16,60,92,991,184,126,187
19309,20977,1,walk,64,0,0,41,80,992,6,4,0,-12,-5,60,54,92,992,78,77,132
20977,22651,1,walk,64,0,0,86,84,986,25,4,-3,23,-77,58,106,93,986,112,153,215
22651,24322,1,walk,64,0,0,118,93,982,19,6,-2,11,26,78,131,102,982,111,131,235
24322,25996,1,walk,64,0,0,58,34,991,-28,-31,4,-34,33,-139,84,50,991,142,118,195
25996,27671,1,walk,64,0,0,47,40,992,-13,-8,1,-66,39,81,69,60,992,140,222,183
27671,29344,1,walk,64,0,0,50,37,990,4,8,-1,98,-47,-46,80,76,990,174,188,143
29344,31014,1,walk,64,0,0,68,93,986,12,24,-2,-10,-32,-36,95,102,986,132,195,136
31014,32688,1,walk,64,0,0,84,63,987,7,-8,0,-8,22,0,95,75,987,91,181,163
32688,34360,1,walk,64,0,0,70,100,984,-8,17,-1,4,0,-25,97,108,984,64,193,104
34360,36033,1,walk,64,0,0,41,77,988,-19,-4,1,4,41,10,66,89,988,102,154,161
36033,37711,1,walk,64,0,0,53,58,988,4,-16,0,-15,-22,-110,94,72,988,111,168,151
37711,39382,1,walk,64,0,0,62,86,987,7,16,0,14,9,129,83,94,987,136,196,225
39382,41054,1,walk,64,0,0,60,91,987,-6,1,0,23,0,-72,85,97,987,107,190,161
41054,42731,1,walk,64,0,0,68,79,986,12,-6,0,-45,-37,-31,98,87,986,103,190,158
42731,44404,1,walk,64,0,0,60,78,987,-8,-2,0,19,22,26,84,85,987,141,193,178
44404,46081,1,walk,64,0,0,86,102,982,16,15,-3,4,-27,-66,108,106,982,105,149,184
46081,47755,1,walk,64,0,0,63,100,986,-12,2,1,-3,46,-41,84,107,986,93,180,165
47755,49433,1,walk,64,0,0,54,90,986,-4,-7,0,-23,-45,-26,84,99,986,131,144,137
49433,51106,1,walk,64,0,0,34,106,985,-15,13,0,44,55,27,67,114,985,149,182,275
51106,52788,1,walk,64,0,0,62,79,986,12,-18,0,-61,-35,-79,93,89,986,111,125,248
52788,54459,1,walk,64,0,0,58,64,990,0,-7,2,8,3,96,81,73,990,98,189,238
54459,56131,1,walk,64,0,0,90,79,985,19,4,-2,13,-24,-79,107,84,985,107,184,250
56131,57802,1,walk,64,0,0,83,90,986,0,6,0,-3,21,2,95,96,986,116,130,196
57802,59476,1,walk,64,0,0,36,76,989,-28,-7,2,-12,30,-124,65,86,989,125,164,219
59476,61146,1,walk,64,0,0,58,90,987,14,9,-2,15,-33,45,86,99,987,96,83,203
61146,62819,1,walk,64,0,0,51,115,984,-9,15,-1,43,20,-15,81,123,984,101,111,187
62819,64493,1,walk,64,0,0,58,137,983,9,11,0,-12,-21,46,80,142,983,64,149,213
64493,66165,1,walk,64,0,0,62,101,986,1,-17,1,10,9,68,82,113,986,108,152,358
66165,67843,1,walk,64,0,0,69,113,983,2,5,-1,-36,-24,-74,91,121,983,146,234,244
67843,69523,1,walk,64,0,0,73,88,985,2,-11,0,9,-6,-241,92,97,985,86,141,351
69523,71208,1,walk,64,0,0,40,79,988,-21,-8,2,-69,-35,-701,76,86,988,117,191,750
71208,72885,1,walk,64,0,0,41,112,984,-2,15,-1,-27,23,11,71,125,984,149,162,313
72885,74557,1,walk,64,0,0,39,97,986,-6,-6,0,10,-28,17,77,105,986,131,254,161
74557,76229,1,walk,64,0,0,64,111,984,22,11,-1,26,-43,16,91,118,984,116,187,283
76229,77906,1,walk,64,0,0,39,81,988,-13,-19,2,-38,9,-116,70,93,988,138,211,195
77906,79578,1,walk,64,0,0,42,86,988,2,4,0,-7,-2,32,71,99,988,111,172,164
79578,81245,1,walk,64,0,0,67,100,985,12,4,-1,28,-15,50,89,108,985,134,130,156
81245,82920,1,walk,64,0,0,76,113,982,11,10,-2,-1,-14,27,102,118,982,127,149,192
82920,84598,1,walk,64,0,0,72,85,985,1,-16,1,-5,0,-79,91,98,985,118,183,188
84598,86273,1,walk,64,0,0,55,112,984,-13,13,0,-37,23,-166,84,116,984,107,212,251
86273,87946,1,walk,64,0,0,59,92,986,1,-5,1,32,-29,128,85,101,986,66,165,298
87946,89622,1,walk,64,0,0,84,106,982,5,0,0,-24,-21,-20,109,114,982,116,242,223
89622,91297,1,walk,64,0,0,48,77,986,-14,-10,1,-30,54,19,76,89,986,115,179,201
91297,92969,1,walk,64,0,0,61,67,987,3,-7,0,7,-21,37,88,79,987,114,158,117
92969,94641,1,walk,64,0,0,72,77,984,10,2,-1,16,8,291,100,91,984,113,202,345
94641,96313,1,walk,64,0,0,75,90,985,8,6,0,41,-24,-58,97,96,985,103,197,165
96313,97990,1,walk,64,0,0,51,106,983,-13,13,0,-6,-5,-209,82,116,983,152,204,311
97990,99665,1,walk,64,0,0,29,100,987,-21,1,1,-9,50,-62,65,105,987,118,162,262
99665,101357,1,walk,64,0,0,72,111,980,20,1,-2,-20,-69,-147,101,121,980,113,129,232
101357,103045,1,walk,64,0,0,52,92,986,-7,-7,2,-32,44,-55,74,105,986,116,146,206
103045,104727,1,walk,64,0,0,82,106,982,16,8,-2,35,-38,-2,102,118,982,128,162,222
104727,106412,1,walk,64,0,0,102,119,979,20,8,-2,-2,-43,-51,119,126,979,100,130,246
106412,108104,1,walk,64,0,0,78,87,984,-14,-20,3,-26,3,-72,100,97,984,113,149,212
108104,109783,1,walk,64,0,0,123,110,979,24,10,-2,0,1,78,139,114,979,89,92,216
109783,111463,1,walk,64,0,0,86,85,986,-11,-10,2,14,-4,-74,102,90,986,71,159,280
111463,113145,1,walk,64,0,0,71,113,983,-15,6,0,-32,34,58,92,121,983,121,161,214
113145,114823,1,walk,64,0,0,31,84,987,-23,-6,1,17,21,17,68,99,987,84,141,125
114823,116504,1,walk,64,0,0,70,98,985,13,0,0,-14,-32,64,94,106,985,105,162,193
116504,118189,1,walk,64,0,0,78,86,983,1,0,0,-4,27,-96,101,100,983,130,129,190
118189,119867,1,walk,64,0,0,85,62,986,7,-17,1,-28,-27,-46,103,74,986,91,132,133
119867,121551,1,walk,64,0,0,88,79,983,5,12,-1,19,9,0,106,96,983,111,171,151
121551,123236,1,walk,64,0,0,116,94,980,19,2,-1,14,-43,-21,131,103,980,98,148,131
123236,124921,1,walk,64,0,0,74,88,985,-18,0,2,-15,21,-39,96,100,985,103,205,174
124921,126601,1,walk,64,0,0,63,73,988,-12,-9,2,2,20,-13,81,81,988,125,134,150
126601,128284,1,walk,64,0,0,77,92,984,2,7,-1,-3,-19,29,100,102,984,118,173,170
128284,129965,1,walk,64,0,0,108,106,980,19,8,-2,11,-10,-15,123,118,980,82,102,252
129965,131655,1,walk,64,0,0,104,99,981,0,-2,0,-22,10,18,120,107,981,160,157,223
131655,133335,1,walk,64,0,0,43,92,986,-34,0,2,2,61,20,73,105,986,81,147,146
133335,135021,1,walk,64,0,0,42,71,987,-7,-14,1,-2,-10,-63,78,87,987,112,191,151
135021,136708,1,walk,64,0,0,39,85,984,1,6,-1,3,-32,-56,84,101,984,133,210,175
136708,138396,1,walk,64,0,0,43,70,986,0,-11,1,-12,21,-1,75,87,986,138,147,133
138396,140079,1,walk,64,0,0,69,84,984,15,6,-1,-5,-35,24,102,95,984,122,138,107
140079,141766,1,walk,64,0,0,54,68,986,-7,-7,0,-7,32,-63,78,88,986,144,139,172
141766,143444,1,walk,64,0,0,38,107,985,-11,24,0,46,-13,27,77,114,985,114,172,229
143444,145125,1,walk,64,0,0,43,134,985,0,18,0,2,4,11,61,139,985,94,141,229
145125,146811,1,walk,64,0,0,62,115,985,9,-5,0,-5,-20,-203,81,121,985,101,140,360
146811,148488,1,walk,64,0,0,59,117,985,-1,-3,0,-5,13,4,74,124,985,60,149,204
148488,150179,1,walk,64,0,0,76,81,987,15,-20,0,-54,-40,-153,99,87,987,105,117,266
150179,151857,1,walk,64,0,0,77,96,986,-4,7,0,7,21,-121,94,102,986,89,172,270
151857,153542,1,walk,64,0,0,33,71,988,-21,-16,1,-22,5,-240,69,80,988,113,142,280
153542,155225,1,walk,64,0,0,25,69,988,-5,-2,0,-13,-3,-75,68,82,988,103,99,176
155225,156918,1,walk,64,0,0,43,59,987,8,-5,0,6,-32,-192,83,76,987,112,121,215
156918,158602,1,walk,64,0,0,30,86,986,-7,8,0,-23,13,-18,78,96,986,94,177,194
158602,160288,1,walk,64,0,0,18,45,991,-6,-19,2,-12,-4,-54,59,59,991,110,114,219
160288,161978,1,walk,64,0,0,52,62,986,21,5,-2,12,-45,-25,91,78,986,122,175,222
161978,163657,1,walk,64,0,0,35,72,988,-9,7,0,11,42,-10,66,93,988,121,164,156
163657,165345,1,walk,64,0,0,56,102,983,15,23,-3,10,-58,-20,88,115,983,145,173,234
165345,167031,1,walk,64,0,0,133,90,977,37,-8,-3,-10,-32,-22,152,101,977,111,221,240
167031,168715,1,walk,64,0,0,41,79,987,-41,-4,4,-8,60,-37,88,89,987,91,150,231
168715,170392,1,walk,64,0,0,25,91,989,-17,6,1,20,7,-14,58,101,989,74,97,252
170392,172077,1,walk,64,0,0,68,97,986,19,5,-1,-1,-44,-22,86,105,986,99,168,240
172077,173760,1,walk,64,0,0,61,96,987,-3,0,0,-2,30,39,80,106,987,118,150,296
173760,175441,1,walk,64,0,0,64,84,986,4,-9,0,-5,-16,-61,93,93,986,95,101,253
175441,177121,1,walk,64,0,0,64,72,989,1,-6,1,-14,6,-44,81,79,989,105,106,253
177121,178806,1,walk,64,0,0,53,59,991,-8,-10,1,-15,10,30,77,67,991,120,122,264
