model_input_index,full_feature_index,feature_name,clip_low,clip_high,mean,std
0,0,lin_norm__mean,0.002695522960275412,0.10191626101732254,0.05513226136386734,0.028909172678571883
1,1,lin_norm__std,0.0010988012410234659,0.049252528697252274,0.025962798263014477,0.013990888649182716
2,2,lin_norm__rms,0.003017575889825821,0.10881326079368595,0.06105754524180418,0.0318716081083541
3,3,lin_norm__min,0.0,0.03648287430405617,0.009225854325349914,0.0069049755624119545
4,4,lin_norm__max,0.005271455999463797,0.20699818432331085,0.11445738352733192,0.06151427300621484
5,5,lin_norm__peak_to_peak,0.004328295141458511,0.19881755113601685,0.10521905737878763,0.05752124804632527
6,6,lin_norm__mean_abs,0.002695522960275412,0.10191626101732254,0.05513226136386734,0.028909172678571883
7,7,lin_norm__mean_abs_diff,0.0003831183753209189,0.018508079126477246,0.009689249285923036,0.005618494243494319
8,13,gyro_norm__max,0.04259503286331892,1.894640564918518,0.5754684433694858,0.4611812440320605
9,14,gyro_norm__peak_to_peak,0.011098949043080212,1.6001552319526686,0.4757806985951436,0.3826309329329457
10,16,gyro_norm__mean_abs_diff,0.0009506437100935727,0.06124252993613484,0.02560712952823059,0.01550127320206052
11,18,acc_norm_centered__mean,-0.007475260645151138,-0.001591612007468938,-0.0037937302788004224,0.001511920656133384
12,19,acc_norm_centered__std,0.00010469402950548101,0.007498329505324364,0.0017795766266670938,0.0011441161916440265
13,20,acc_norm_centered__rms,0.0016536407300736756,0.010827712714672089,0.004229147068820646,0.001816496597713303
14,21,acc_norm_centered__min,-0.03737036883831024,-0.0020000000949949026,-0.008721551430648894,0.005398646113019377
15,22,acc_norm_centered__max,-0.003000000026077032,-0.0010000000474974513,-0.001563263484347654,0.0006123075051747702
16,23,acc_norm_centered__peak_to_peak,0.0007261384732555598,0.03503703698515892,0.007159096972892032,0.00507522230608516
17,24,acc_norm_centered__mean_abs,0.0015916120074689387,0.007475260645151138,0.0037937302788004224,0.001511920656133384
18,25,acc_norm_centered__mean_abs_diff,2.5899389947880993e-05,0.0015408582985401154,0.0005075991380522196,0.0002829700855700622
19,27,lin_delta_norm__mean,0.0006521140364930034,0.025026803258806476,0.014085695336808313,0.007917543508849531
20,28,lin_delta_norm__std,0.0004013141494942829,0.019386453554034233,0.008358305169783352,0.004782515085573612
21,29,lin_delta_norm__rms,0.0008082014229148627,0.029521945863962173,0.01640538083581686,0.009193537565309618
22,30,lin_delta_norm__min,0.0,0.005875249947421285,0.0016411423766611501,0.001360931706491309
23,31,lin_delta_norm__max,0.001663730712607503,0.13145534694194794,0.038160548365441194,0.02344887025246453
24,32,lin_delta_norm__peak_to_peak,0.001663730712607503,0.13085243105888367,0.03651435170278392,0.022658178576499644
25,33,lin_delta_norm__mean_abs,0.0006521140364930034,0.025026803258806476,0.014085695336808313,0.007917543508849531
26,34,lin_delta_norm__mean_abs_diff,0.00037340250331908465,0.01089911162853241,0.004996616672486342,0.0028085086661457396
27,35,lin_delta_norm__zero_crossing_rate,0.1269841343164444,0.5714285969734192,0.27217092883450905,0.09334702474427156
28,36,gyro_delta_norm__mean,0.002869182927533984,0.11850295960903168,0.05216133565190089,0.030226430143723164
29,37,gyro_delta_norm__std,0.0011809124262072146,0.050998479127883946,0.02353924825799053,0.01367315705648512
30,38,gyro_delta_norm__rms,0.0030933941574767232,0.12843863666057587,0.05735871093882028,0.03298188653944829
31,39,gyro_delta_norm__min,6.661733641522005e-05,0.03690989490598468,0.011580848349058452,0.008654399279956251
32,40,gyro_delta_norm__max,0.005821663113310933,0.3015856146812439,0.11460942912952331,0.06596059572552442
33,41,gyro_delta_norm__peak_to_peak,0.005054274233989417,0.2783333659172058,0.1030102063196644,0.05992155008918637
34,42,gyro_delta_norm__mean_abs,0.002869182927533984,0.11850295960903168,0.05216133565190089,0.030226430143723164
35,43,gyro_delta_norm__mean_abs_diff,0.0009472985961474479,0.028784163296222687,0.012461881556123239,0.00722097949189452
36,45,lin_covariance_eigenvalue_0,4.281354372324131e-06,0.008921160316094783,0.0030115835957522483,0.0020389591238852657
37,46,lin_covariance_eigenvalue_1,6.498751713479578e-07,0.003763953016605229,0.0013003898949206535,0.0009235270456601004
38,52,gyro_covariance_eigenvalue_1,1.7945196177606703e-05,0.07546876952052144,0.018122220438652685,0.015147446527388309
39,53,gyro_covariance_eigenvalue_2,4.471055194699147e-06,0.02983076311647892,0.006558958296659927,0.00604239242796225
40,58,lin_norm__dominant_frequency_hz,0.625,4.01875000000004,1.9192062737642588,1.2141699060780824
41,59,lin_norm__spectral_centroid_hz,0.8848504889011383,4.335589094161993,2.5296580298091977,0.7965569022686131
42,60,lin_norm__spectral_entropy,0.19674998581409456,0.7220413833856584,0.5279381133789345,0.10505354159717906
43,61,lin_norm__band_energy_0p3_1p5,0.016846614815294744,0.9675739979743958,0.3968512210488716,0.264326728360147
44,62,lin_norm__band_energy_1p5_3p0,0.0051927232672460385,0.698535144329071,0.21504914563564767,0.15206564042352283
45,63,lin_norm__band_energy_3p0_8p0,0.011965843178331851,0.8653911721706393,0.3704262445632779,0.23085850824930906
46,64,lin_norm__low_high_energy_ratio,0.13116388350725175,82.12573989868179,5.799950908230512,11.735761755384177
47,69,gyro_norm__band_energy_0p3_1p5,0.042468341886997225,0.9886415022611619,0.5975234272288505,0.27017929445157096
48,74,lin_delta_norm__dominant_frequency_hz,0.625,17.76875000000004,3.075099809885932,2.943612777959834
49,75,lin_delta_norm__spectral_centroid_hz,2.7106516122817994,11.635730724334717,5.396619659093851,1.9462970868121394
50,76,lin_delta_norm__spectral_entropy,0.5761263746023179,0.9232739567756654,0.7553858201589875,0.08041557720142102
51,77,lin_delta_norm__band_energy_0p3_1p5,0.009382725413888692,0.5698264527320863,0.1758598756625427,0.11614773953353805
52,78,lin_delta_norm__band_energy_1p5_3p0,0.007482232321053744,0.521467307806015,0.20655882017548147,0.11733683647309649
53,83,gyro_delta_norm__spectral_centroid_hz,1.8639479899406433,8.656709566116344,4.2768284692492315,1.2239152976996182
54,84,gyro_delta_norm__spectral_entropy,0.45864020973443986,0.8820399308204652,0.6975601077367598,0.08046015964435085
55,85,gyro_delta_norm__band_energy_0p3_1p5,0.01256027159281075,0.7099806618690491,0.23343024255167483,0.15681606475498186
